epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,759.609,0.26592,0.86844,1.1613,0.9944,0.5,0.52238,0.40753,0.96592,1.43705,1.75851,0.00106118,0.00106118,0.00106118
28,785.497,0.27859,0.87496,1.08653,0.99428,0.5,0.52119,0.40801,0.94484,1.49836,1.53849,0.00104703,0.00104703,0.00104703
29,811.106,0.25419,0.82483,1.10358,0.97556,0.5,0.51881,0.2614,1.39917,2.15624,1.93902,0.00103288,0.00103288,0.00103288
30,838.36,0.28389,0.85952,1.09439,1,0.49789,0.52119,0.25013,1.50554,2.08571,2.03517,0.00101873,0.00101873,0.00101873
31,867.303,0.25507,0.82608,1.09457,1,0.49839,0.52119,0.26336,1.37509,1.99516,1.70387,0.00100459,0.00100459,0.00100459
32,893.669,0.19084,0.76369,1.04326,1,0.49223,0.52011,0.26358,1.61278,1.87538,1.95275,0.00099044,0.00099044,0.00099044
33,920.161,0.23507,0.79183,1.05693,1,0.49536,0.52011,0.24678,1.58491,1.98811,2.02361,0.000976293,0.000976293,0.000976293
34,947.237,0.25617,0.77052,1.07129,1,0.49832,0.52119,0.38317,0.77817,1.52964,1.19198,0.000962146,0.000962146,0.000962146
35,974.656,0.22847,0.73911,1.05088,1,0.4989,0.52119,0.44477,0.69379,1.30445,1.14961,0.000947999,0.000947999,0.000947999
36,1001.92,0.23231,0.75355,1.04738,1,0.49886,0.52119,0.45821,0.70769,1.23308,1.16384,0.000933851,0.000933851,0.000933851
37,1029.05,0.21137,0.73078,1.01404,1,0.49777,0.52011,0.46109,0.62251,1.15292,1.07745,0.000919704,0.000919704,0.000919704
38,1055.63,0.19235,0.64897,1.05097,0.99718,0.475,0.51892,0.46007,0.56797,1.09279,1.04991,0.000905557,0.000905557,0.000905557
39,1083.05,0.19722,0.67334,1.07445,0.99727,0.475,0.54399,0.49307,0.51098,1.04592,0.95777,0.00089141,0.00089141,0.00089141
40,1111.26,0.20118,0.67137,1.04447,0.99315,0.475,0.98471,0.83787,0.55922,1.21467,0.95926,0.000877263,0.000877263,0.000877263
